Wall time,Step,Value
1663610297.2558513,22800,10.202173233032227
1663610337.959128,22900,11.04301643371582
1663610378.7186358,23000,10.727350234985352
1663610419.4096599,23100,11.347574234008789
1663610460.192127,23200,11.160284042358398
1663610500.8302784,23300,10.618158340454102
1663610541.538332,23400,10.874058723449707
1663610582.106886,23500,11.580244064331055
1663610622.71863,23600,10.57020092010498
1663610663.3095448,23700,11.606444358825684
1663610703.875047,23800,10.812037467956543
1663610744.517426,23900,11.42597484588623
1663610785.1462853,24000,10.42916202545166
1663610825.7424536,24100,9.656837463378906
1663610866.1546316,24200,11.118375778198242
1663610906.5791717,24300,10.719470977783203
1663610947.1088085,24400,9.60026741027832
1663610987.7256522,24500,11.24942684173584
1663611028.2290063,24600,10.997812271118164
1663611068.7092261,24700,11.276127815246582
1663611109.147411,24800,10.63629150390625
1663611149.720149,24900,10.259562492370605
1663611190.172657,25000,10.980695724487305
1663611230.4721713,25100,11.739931106567383
1663611270.729013,25200,10.762676239013672
1663611311.0178342,25300,10.684674263000488
1663611351.2094548,25400,11.119176864624023
1663611391.384415,25500,8.54218578338623
1663611431.5039303,25600,9.786746978759766
1663611472.6213295,25700,9.855748176574707
1663611512.8946648,25800,11.014480590820312
1663611554.1137524,25900,10.914177894592285
1663611594.5871751,26000,9.94235610961914
1663611635.692545,26100,10.73753833770752
1663611675.8782759,26200,10.96681022644043
1663611716.1400938,26300,11.804844856262207
1663611756.4118872,26400,10.222536087036133
1663611796.636895,26500,10.902833938598633
1663611836.9160273,26600,9.793461799621582
1663611877.12036,26700,10.758267402648926
1663611917.549219,26800,10.301515579223633
1663611957.7517087,26900,10.088582038879395
1663611997.981982,27000,11.025036811828613
1663612038.2454424,27100,10.899231910705566
1663612078.6202922,27200,11.737218856811523
1663612118.832316,27300,9.53342342376709
1663612159.1300895,27400,9.95688247680664
1663612199.2956676,27500,10.624964714050293
1663612239.4773843,27600,11.04057788848877
1663612279.5700912,27700,11.03303337097168
1663612319.927523,27800,10.724602699279785
1663612360.4411876,27900,11.122098922729492
